TweetID,TweetText,TweetDate,TweetTimeIST,WeekdayName,IsWeekday,TweetCharacterCount,TweetWordCount,Impressions,Likes,Replies,Retweets,UserProfileClicks,HashtagClicks,URLClicks,TotalClicks,Engagements,EngagementRate,MediaEngagements,MediaViews,UserName,IsOddDate,EvenImpressions,HourIST
1,Sample tweet content number 1,2024-03-07,12:31:00,Thursday,True,258,70,4837,98,56,145,9,15,10,34,333,6.88,47,252,User_60,True,False,12
2,Sample tweet content number 2,2024-03-18,17:04:00,Monday,True,237,46,8502,161,92,119,45,16,38,99,471,5.54,44,829,User_16,False,True,17
3,Sample tweet content number 3,2024-02-23,23:29:00,Friday,True,37,45,6365,107,56,99,16,13,1,30,292,4.59,98,56,User_88,True,False,23
4,Sample tweet content number 4,2024-04-07,15:58:00,Sunday,False,169,26,3413,167,70,88,21,1,31,53,378,11.08,46,957,User_40,True,False,15
5,Sample tweet content number 5,2024-03-20,10:53:00,Wednesday,True,106,44,3738,54,67,11,4,16,3,23,155,4.15,87,379,User_68,False,True,10
6,Sample tweet content number 6,2024-04-11,09:11:00,Thursday,True,90,21,4559,61,6,65,44,9,10,63,195,4.28,13,630,User_43,True,False,9
7,Sample tweet content number 7,2024-04-02,22:37:00,Tuesday,True,88,59,3196,161,50,78,21,5,33,59,348,10.89,6,396,User_41,False,True,22
8,Sample tweet content number 8,2024-04-22,02:15:00,Monday,True,204,31,2146,153,21,4,41,17,33,91,269,12.53,18,7,User_9,False,True,2
9,Sample tweet content number 9,2024-04-10,10:04:00,Wednesday,True,157,78,4377,57,95,100,3,20,8,31,283,6.47,50,690,User_7,False,False,10
10,Sample tweet content number 10,2024-01-10,15:52:00,Wednesday,True,46,79,2225,13,93,130,11,22,21,54,290,13.03,52,1000,User_79,False,False,15
11,Sample tweet content number 11,2024-04-04,00:32:00,Thursday,True,74,28,6776,90,89,88,26,29,2,57,324,4.78,17,158,User_42,False,True,0
12,Sample tweet content number 12,2024-01-13,18:12:00,Saturday,False,97,59,5848,126,89,7,10,28,37,75,297,5.08,62,460,User_26,True,True,18
13,Sample tweet content number 13,2024-04-12,15:11:00,Friday,True,249,39,1341,186,83,100,40,3,5,48,417,31.1,61,942,User_68,False,False,15
14,Sample tweet content number 14,2024-01-24,02:24:00,Wednesday,True,137,80,3377,59,100,6,17,4,12,33,198,5.86,51,221,User_97,False,False,2
15,Sample tweet content number 15,2024-03-05,14:50:00,Tuesday,True,232,80,121,198,41,47,30,11,17,58,344,284.3,44,95,User_53,True,False,14
16,Sample tweet content number 16,2024-04-23,23:00:00,Tuesday,True,71,32,3482,198,43,104,49,2,5,56,401,11.52,38,40,User_28,True,True,23
17,Sample tweet content number 17,2024-02-23,01:18:00,Friday,True,42,55,3970,138,45,13,1,13,10,24,220,5.54,22,390,User_17,True,True,1
18,Sample tweet content number 18,2024-03-26,03:11:00,Tuesday,True,216,21,2887,8,6,61,4,25,33,62,137,4.75,35,797,User_2,False,False,3
19,Sample tweet content number 19,2024-02-24,06:15:00,Saturday,False,104,17,8145,102,67,73,26,17,11,54,296,3.63,70,550,User_82,False,False,6
20,Sample tweet content number 20,2024-03-21,10:24:00,Thursday,True,143,80,9341,185,89,87,35,15,12,62,423,4.53,45,867,User_94,True,False,10
21,Sample tweet content number 21,2024-01-04,08:41:00,Thursday,True,230,39,9863,38,1,3,10,28,39,77,119,1.21,91,681,User_33,False,False,8
22,Sample tweet content number 22,2024-01-30,16:29:00,Tuesday,True,126,9,4763,15,69,36,44,19,6,69,189,3.97,21,965,User_79,False,False,16
23,Sample tweet content number 23,2024-02-11,10:52:00,Sunday,False,136,40,4472,18,86,78,12,10,32,54,236,5.28,4,707,User_2,True,True,10
24,Sample tweet content number 24,2024-03-26,13:50:00,Tuesday,True,55,21,3219,189,25,32,10,0,25,35,281,8.73,16,74,User_77,False,False,13
25,Sample tweet content number 25,2024-02-04,06:53:00,Sunday,False,29,61,5387,126,49,134,38,9,12,59,368,6.83,15,327,User_76,False,False,6
26,Sample tweet content number 26,2024-01-17,04:50:00,Wednesday,True,268,36,2723,122,76,118,9,28,5,42,358,13.15,27,732,User_33,True,False,4
27,Sample tweet content number 27,2024-01-18,14:00:00,Thursday,True,162,70,5823,32,99,23,44,11,31,86,240,4.12,39,111,User_91,False,False,14
28,Sample tweet content number 28,2024-04-27,05:50:00,Saturday,False,276,28,9201,41,86,141,8,11,4,23,291,3.16,93,394,User_62,True,False,5
29,Sample tweet content number 29,2024-03-20,03:03:00,Wednesday,True,210,28,9303,98,29,50,28,3,18,49,226,2.43,80,693,User_58,False,False,3
30,Sample tweet content number 30,2024-01-15,08:53:00,Monday,True,254,36,6679,69,27,53,39,0,20,59,208,3.11,67,648,User_95,True,False,8
31,Sample tweet content number 31,2024-03-19,08:56:00,Tuesday,True,239,42,4106,66,21,56,35,22,0,57,200,4.87,1,741,User_83,True,True,8
32,Sample tweet content number 32,2024-02-07,18:32:00,Wednesday,True,252,27,3871,86,89,137,20,17,15,52,364,9.4,2,345,User_95,True,False,18
